ID,P17,P45,P73,P84,P100,P112,P5,P10,P39,P107,P3,P15,P48,P75,P101,P24,P42,P76,P99
G0_1PL_1_1,119119,196196,279282,299301,358360,385385,082082,105108,177177,369372,092092,121121,201201,266266,346346,145148,194194,275288,341358
G0_1PL_1_10,119119,196196,279282,299301,352358,385385,082082,105108,177177,372372,090092,121121,201201,268268,367367,145145,190192,288291,358358
G0_1PL_1_11,119119,196196,279282,301301,352352,385385,073079,000000,177177,372372,090092,121127,201201,266268,346346,148148,190194,288288,358358
G0_1PL_1_12,119119,193196,279282,299301,358360,385385,073079,000000,177177,369372,090092,121121,201201,266268,367367,145148,190194,275288,341358
G0_1PL_1_13,119119,196196,279282,301301,352352,385385,082082,108111,177177,372372,090092,127127,201201,266268,367367,145145,194194,275288,341358
G0_1PL_1_14,119119,193196,282282,301301,352352,385385,082082,105108,177177,369372,090092,127127,201201,266268,360360,145148,192194,288288,358358
G0_1PL_1_15,119119,196196,279282,299301,352352,385385,082082,105108,177177,372372,092092,121127,201201,268268,367367,145148,192194,288288,358358
G0_1PL_1_2,119119,193196,279279,301301,352352,385385,073079,000000,177177,372372,090092,121127,201201,268268,367367,145148,192194,288288,341341
G0_1PL_1_3,119119,196196,279282,299301,352358,385385,082082,108108,177177,372372,090092,121127,201201,268268,367367,145145,192192,275288,358358
G0_1PL_1_4,119119,196196,282282,299301,358360,385385,073079,105108,177177,369372,092092,121127,201201,266268,346346,145145,190194,275288,341358
G0_1PL_1_5,119119,196196,279282,301301,352352,385385,082082,108111,177177,369372,090092,127127,201201,268268,360360,145145,192194,288288,341358
G0_1PL_1_6,119119,196196,282282,301301,352352,385385,082082,108108,177177,369372,090090,127127,201201,268268,346346,145145,192192,275288,358358
G0_1PL_1_7,119119,196196,279282,299299,352352,385385,073079,105108,177177,369372,090092,121127,201201,266268,346346,148148,192194,275288,358358
G0_1PL_1_8,119119,196196,279282,299301,352358,385385,082082,108111,177177,372372,092092,121121,201201,266266,367367,148148,194194,288288,341358
G0_1PL_1_9,119119,196196,279279,299301,352358,385385,082082,000000,177177,372372,092092,121127,201201,266266,346346,148148,192194,275288,358358
G0_1PL_2_1,119119,193196,279282,301301,352352,385385,082082,105108,177177,372372,092092,121127,201201,266268,346346,145148,192194,275288,341358
G0_1PL_2_10,119119,196196,279282,301301,352352,385385,073079,105108,177177,369372,090092,121127,201201,266268,346346,145148,192192,288288,341358
G0_1PL_2_11,119119,196196,279282,301301,358358,385385,082082,105108,177177,369372,090092,127127,201201,266268,360360,145148,192194,288288,358358
G0_1PL_2_12,119119,196196,279279,301301,358358,385385,073082,108111,177177,372372,092092,127127,201201,268268,367367,148148,194194,275275,358358
G0_1PL_2_13,119119,193196,279279,299301,352358,385385,082082,108111,177177,372372,092092,127127,201201,268268,367367,148148,194194,288288,341358
G0_1PL_2_14,119119,193196,282282,299301,352360,385385,082082,105108,177177,369372,092092,121127,201201,266266,367367,148148,192192,288288,341358
G0_1PL_2_15,119119,193196,279282,301301,352358,385385,073079,108111,177177,369372,092092,127127,201201,266268,367367,148148,194194,275288,358358
